,popularity
1032,0
127565,37
486308,48
411123,11
482265,0
128323,41
521390,11
34250,21
28811,19
465553,36
394213,18
193990,35
564162,19
296905,0
371680,50
72080,52
549643,12
464439,2
530470,42
43693,52
67533,64
313287,51
383496,12
340155,12
368959,26
528362,32
330505,9
327354,13
431402,22
132654,0
301486,43
535874,27
98033,45
483132,16
323499,22
297977,23
212653,13
504462,40
405414,34
468688,69
199195,31
82026,0
196207,41
492374,1
536543,2
250661,8
295004,30
360232,53
168890,40
195126,35
357046,50
224294,20
458969,15
447496,24
9603,6
258141,4
106019,43
147028,33
18818,0
95517,9
207419,36
49728,51
302211,54
421002,0
43417,33
312219,55
381506,60
390234,4
220233,19
489476,30
482872,29
562647,57
267385,29
478097,45
527692,27
194697,37
212058,53
211559,71
169799,20
343073,30
97283,17
280579,2
170803,16
180258,3
226177,14
395046,33
550217,19
150437,35
554026,31
516808,7
563787,13
212691,9
353166,1
489354,29
311770,36
67783,56
435922,52
144799,32
187334,53
133539,0
466183,45
496121,27
65469,69
527110,30
540808,5
339848,11
241132,15
172768,26
504055,10
485102,14
10081,0
555525,28
573105,27
167350,34
499352,40
541909,4
544335,21
381629,56
324661,19
488410,58
247620,24
307500,12
419552,29
120200,36
397117,40
334293,22
305387,6
